,precision,recall,f1-score,support
BENIGN,0.9999412278673944,0.9987515996352636,0.9993460597161038,255527.0
Bot,0.7509727626459144,0.9872122762148338,0.8530386740331491,391.0
DDoS,0.9997656890693951,0.9999218841542007,0.9998437805116188,25603.0
DoS GoldenEye,0.9898746383799422,0.9980554205153136,0.9939481965625756,2057.0
DoS Hulk,0.999045718747289,0.9993636100665316,0.9992046391230784,34570.0
DoS Slowhttptest,0.9829383886255925,0.9913957934990439,0.9871489766777725,1046.0
DoS Slowloris,0.9871441689623508,0.9981429897864438,0.9926131117266851,1077.0
FTP-Patator,1.0,1.0,1.0,1187.0
Heartbleed,1.0,1.0,1.0,2.0
Infiltration,1.0,1.0,1.0,7.0
PortScan,0.9928348739265985,0.9993393525655142,0.9960764946360469,18164.0
SSH-Patator,0.9984496124031008,1.0,0.9992242048099301,644.0
Web Attack - Brute Force,0.740484429065744,0.7278911564625851,0.7341337907375644,294.0
Web Attack - SQL Injection,0.75,0.75,0.75,4.0
Web Attack - XSS,0.3916083916083916,0.4307692307692308,0.41025641025641024,130.0
accuracy,0.998444392916998,0.998444392916998,0.998444392916998,0.998444392916998
macro avg,0.9055373267534476,0.9253895542445973,0.914322289252729,340703.0
weighted avg,0.9985575988085543,0.998444392916998,0.9984810803106762,340703.0
